author_label,artist_name,persona_bio,album_title,tracklist,status,source_file
Ancker_Jessica_55916074200,DocTune,"In a world where code meets cure, DocTune crafts sonic remedies for the healthcare system's ills. From the early days of scribbling code to heal the gaps in electronic health records, DocTune's journey has been a symphony of innovation. With each note, she weaves together the threads of patient engagement, health disparities, and technological fusion. Her beats pulse with the rhythm of progress, pushing the boundaries of what's possible when humans and machines harmonize. As a maestro of health informatics, DocTune's melodies dance between the realms of art and science, creating a rich tapestry of sound that inspires hope and healing.",Rx for the System,"Track 01 - Charting the Code
Track 02 - Data Flow
Track 03 - Health Harmony
Track 04 - Fragmented Files
Track 05 - ReMixing Reality
Track 06 - Echoes of Empathy
Track 07 - The Disparity Blues
Track 08 - Visual Vibes
Track 09 - Safe Passage
Track 10 - Signal to Noise
Track 11 - The Waiting Room Waltz",ok,author_expertise_txt/Ancker_Jessica_55916074200.txt
Anders_Shilo_21233283900,EchoFlux,"A polymathic musician and sonic designer, EchoFlux crafts soundscapes where humans meet tech. From pulsing rhythms of hospital hallways to the eerie whispers of AI's digital dreams, their music embodies the intersection of art and science. As a master of sonic innovation, EchoFlux weaves together threads of human experience, ergonomics, and cutting-edge technology. With each note, they probe the boundaries between comfort and chaos, seeking harmony in the ever-evolving dance between humans and machines.",Syncopated Heartbeats,"Track 01 - 'Bias Be Gone'
Track 02 - 'EHRs in Disguise'
Track 03 - 'Pediatric Pulse Check'
Track 04 - 'Symphony of Safety Checks'
Track 05 - 'ICU Waltz of Distracted Hands'
Track 06 - 'Voice Activated Vibes'
Track 07 - 'Telemed Tango'
Track 08 - 'Risk Model Rhapsody'
Track 09 - 'Designing Harmony'
Track 10 - 'Debriefing Blues'
Track 11 - 'The Usability Shuffle'
Track 12 - 'Signal to Noise Revival'",ok,author_expertise_txt/Anders_Shilo_21233283900.txt
Anderson_Adam_7403369918,Face Value,"Meet the maestro of mindscapes, Face Value. This master weaver of sonic tapestries has spent years tuning in to the intricate harmonies of the human brain. From the sweet serenade of face recognition to the discordant notes of auditory hallucinations, Face Value's soundscapes reflect the dynamic dance of neurons and synapses. With a background in the avant-garde of brain imaging, they've honed their craft to dissect the complex rhythms of cognition and emotion. Now, they're taking their audience on a journey through the uncharted territories of white matter, where the pulse of knowledge meets the beat of the mind.",Fractured Fibers,[],invalid_output:Missing key: tracklist,author_expertise_txt/Anderson_Adam_7403369918.txt
Archer_Derek_55915833400,Fiber Fidelity,"As a sonic cartographer of the mind, Fiber Fidelity crafts a rich tapestry of soundscapes that map the intricate networks of the human brain. With a background in neuroimaging and neuroscience, Derek Archer's musical journey began in the realm of diffusion MRI, where he uncovered the hidden patterns within brain structure and function. As his sound evolved, so did his focus – from the fragmented beats of brain aging to the harmonious fusion of disparate imaging datasets. Today, Fiber Fidelity navigates the uncharted territories of brain network analysis, weaving together threads of connectivity and disconnection. With each note, he reveals the hidden harmonies of the human experience.",Echoes in the Gray Matter,[],invalid_output:Missing key: tracklist,author_expertise_txt/Archer_Derek_55915833400.txt
Bao_Shunxing_57189987093,Pixel Picasso,"Meet Pixel Picasso, the master of split-second impressions and vivid imagery. With a brush stroke of code, they bring order from chaos, splitting signals into precise segments with every keystroke. From the swirling mists of uncertainty to the crystal clarity of diagnosis, Pixel's artistry weaves a tapestry of innovation. A fusion of form and function, their music echoes the seamless integration of theory and practice. With each new creation, they remix the possibilities, pushing the boundaries of what's possible. Where light and sound converge, Pixel Picasso conjures worlds anew.",Signal Splitter: Echoes in the Haze,"Track 01 - Fractured Focus
Track 02 - Synthetic Sunrise
Track 03 - Ghost Frequencies
Track 04 - Convolution Cathedral
Track 05 - Edge Case Odyssey
Track 06 - Generative Dawn
Track 07 - Pattern Weaver
Track 08 - Topology Tides
Track 09 - Residual Rhapsody
Track 10 - Reverb Revival",ok,author_expertise_txt/Bao_Shunxing_57189987093.txt
Bayrak_Roza_57204806278,Razzy Fibro,"Dubbed 'The Fiber Optic Philosopher,' Razzy Fibro crafts sonic tapestries that weave together disparate threads of science and sound. From the resonant echoes of diffusion-weighted MRI, she forges immersive soundscapes that map the hidden pathways of the mind. With each album, Razzy delves deeper into the labyrinthine corridors of brain-body connections, illuminating the hidden harmonies that govern our thoughts and behaviors. A master of signal processing, she splits frequencies like a virtuoso separates strands of DNA. Her music is a testament to the beauty and complexity of the human experience, distilled into an aural alchemy that transports listeners to the frontiers of perception.",White Noise Symphony,[],invalid_output:Missing key: tracklist,author_expertise_txt/Bayrak_Roza_57204806278.txt
Belzil_Veronique_35098119100,Methylation Muse,"As a sound weaver, I've always been drawn to the complex harmonies of human neurology. My musical journey began with the haunting refrains of amyotrophic lateral sclerosis (ALS), where genetic mutations whispered secrets of a fragile nervous system. As I delved deeper, frontotemporal dementia (FTD) entered my melodic landscape, its echoes of loss and longing weaving a poignant counterpoint. But it wasn't until I stumbled upon the mysterious realm of epigenetics that my true symphony took shape. Now, I'm dedicated to crafting sonic explorations that dissect the tangled relationships between genetics, environment, and disease. With each note, I seek to reveal the hidden patterns and rhythms that govern our bodies, and to create a richer understanding of what it means to be human.",Fractured Harmonies,"Track 01 - Split Decision (ALS Breakthrough)
Track 02 - Tar Pit Tango (TARDBP's Dark Waltz)
Track 03 - FUSional Frenzy (A Genetic Storm)
Track 04 - C9ORF72 - A Requiem for Silence
Track 05 - Methylation Mass (The Epigenetic Enigma)
Track 06 - DNA Drifter (Unraveling the Blueprint)
Track 07 - Histone Hush (The Whispering Walls of Memory)
Track 08 - Diagnosis Dilemma (A Symphony of Biomarkers)
Track 09 - Pathway Puzzle (Unlocking the Secrets of FTD)
Track 10 - Neurological Nexus (The Intersection of Diseases)
Track 11 - Rhythms of Recovery (Hope in the Face of Frailty)
Track 12 - Echoes in the Genome (The Ongoing Quest)",ok,author_expertise_txt/Belzil_Veronique_35098119100.txt
Bhansali_Shekhar_7006527220,Electric Pulse,"With fingers poised on the pulse of innovation, Electric Pulse crafts sonic landscapes where technology meets emotion. A maestro of micro worlds, he's spent years perfecting the art of translating signals from the human body into beats that echo through the heart. From the gentle hum of cortisol rhythms to the frenetic thrum of glucose spikes, Electric Pulse's soundscapes capture the intricate dance between the molecular and the emotional. With each note, he seeks to harmonize the boundaries between flesh and circuitry, creating an immersive experience that resonates deep within.",Frequency of Life,"Track 01 - Beat the Wave
Track 02 - Electrochemical Dreamscape
Track 03 - Conductive Connections
Track 04 - Molecular Mirrors
Track 05 - Imprint of Memories
Track 06 - Nano Harmonies
Track 07 - Energy Harvested
Track 08 - Fractal Frenzy
Track 09 - Diagnostics Dance
Track 10 - Pulse Points",ok,author_expertise_txt/Bhansali_Shekhar_7006527220.txt
Biswas_Gautam_57211726890,Code Crusader of Learning,"Gauri 'The Code Guru' Ramesh is a maestro of making computers think, and people too! This polymath virtuoso seamlessly weaves together the threads of art and science to create innovative solutions that delight and educate. With a background in artificial intelligence and machine learning, Gauri crafts sonic tapestries that transport listeners to realms of computational wonder. As they explore their discography, you'll discover a trailblazer who's split the atom of learning, diffused knowledge through simulations, and remixed reality with STEM mastery. Gauri's music is a testament to the power of creativity, code, and community. Get ready to groove with the beat of the future!",Synthetic Symphony of Discovery,[],invalid_output:Missing key: tracklist,author_expertise_txt/Biswas_Gautam_57211726890.txt
Bodenheimer_Bobby_56133948600,Virtual Voyager,"A seasoned sonic navigator, Bobby Flux explores the uncharted territories of digital realms. With a background in auditory cartography, he's been mapping the intricacies of human perception and interaction within virtual landscapes. From the gentle lapping of waves in the ocean of movement to the eerie silence of infinite distances, Flux crafts soundscapes that transport listeners through the vast expanse of virtual reality. As a seasoned composer, he's developed a keen sense for the subtle harmonies of human behavior and the discordant notes of technology gone awry. His music is a symphony of discovery, charting new frontiers in the cosmos of the human experience.",Lost in the Interface,"Track 01 - Lost and Found
Track 02 - Walking in Circles
Track 03 - Avatars Unbound
Track 04 - Bisection Blues
Track 05 - Scaled Up
Track 06 - Reverb Revival
Track 07 - Translational Tango
Track 08 - Headstrong
Track 09 - Virtual Vagabond
Track 10 - Spatial Dissonance
Track 11 - Cogito Ergo Remix
Track 12 - Echoes in Infinity",ok,author_expertise_txt/Bodenheimer_Bobby_56133948600.txt
